instance_id,seed,block_size,baseline_distance,exact_best_distance,exact_best_improvement,improving_state_count
seed002_pair1_B2_w8,2,8,118.72648151671785,113.62627935883918,5.10020215787867,59
seed002_pair1_B3_w10,2,10,118.72648151671785,113.62627935883918,5.10020215787867,64
seed002_pair1_B2_w12,2,12,118.72648151671785,113.62627935883918,5.10020215787867,109
seed002_pair1_B3_w14,2,14,118.72648151671785,113.62627935883918,5.10020215787867,148
seed003_pair1_B1_w8,3,8,128.45641540180517,127.39373295038908,1.0626824514160944,7
seed003_pair1_B2_w10,3,10,128.45641540180517,127.39373295038908,1.0626824514160944,9
seed003_pair1_B3_w12,3,12,128.45641540180517,127.39373295038908,1.0626824514160944,17
seed003_pair1_B1_w14,3,14,128.45641540180517,127.39373295038908,1.0626824514160944,31
