instance_id,seed,block_size,method,candidate_budget,found_improvement,best_improvement,improving_probability,global_or_near_optimum_probability,relative_exact_gap
seed002_pair1_B3_w10,2,10,模拟退火,128,True,3.7175580863968065,0.2890625,0.0,0.27109593476525
seed002_pair1_B3_w10,2,10,Random,128,True,5.10020215787867,0.0703125,0.0078125,0.0
seed002_pair1_B3_w10,2,10,Exact,128,True,5.10020215787867,0.5,0.015625,0.0
seed002_pair1_B3_w10,2,10,Ideal QAOA p=1,128,True,3.0587768234357213,0.0234375,0.0,0.4002636113726205
seed002_pair1_B3_w10,2,10,Ideal QAOA p=2,128,True,0.2784562651577005,0.015625,0.0,0.9454028964856721
seed002_pair1_B3_w10,2,10,Ideal QAOA p=3,128,True,1.5859964164439617,0.03125,0.0,0.6890326368742163
seed002_pair1_B3_w10,2,10,单点局部搜索,256,True,0.8924720544232656,0.08984375,0.0,0.8250124158226559
seed002_pair1_B3_w10,2,10,多起点局部搜索,256,True,5.10020215787867,0.58984375,0.1875,0.0
seed002_pair1_B3_w10,2,10,模拟退火,256,True,5.10020215787867,0.671875,0.28125,0.0
seed002_pair1_B3_w10,2,10,Random,256,True,5.10020215787867,0.0390625,0.00390625,0.0
seed002_pair1_B3_w10,2,10,Exact,256,True,5.10020215787867,0.25,0.0078125,0.0
seed002_pair1_B3_w10,2,10,Ideal QAOA p=1,256,True,1.7426354639212889,0.02734375,0.0,0.6583203155527262
seed002_pair1_B3_w10,2,10,Ideal QAOA p=2,256,True,1.7426354639212889,0.03125,0.0,0.6583203155527262
seed002_pair1_B3_w10,2,10,Ideal QAOA p=3,256,True,2.8634375533817717,0.0234375,0.0,0.43856391085235663
seed002_pair1_B2_w12,2,12,单点局部搜索,32,True,0.9195259877334223,0.15625,0.0,0.8197079332800641
seed002_pair1_B2_w12,2,12,多起点局部搜索,32,True,5.10020215787867,0.4375,0.0625,0.0
seed002_pair1_B2_w12,2,12,模拟退火,32,True,1.431233336640517,0.59375,0.0,0.7193771359769373
seed002_pair1_B2_w12,2,12,Random,32,False,0.0,0.0,0.0,1.0
seed002_pair1_B2_w12,2,12,Exact,32,True,5.10020215787867,1.0,0.0625,0.0
seed002_pair1_B2_w12,2,12,Ideal QAOA p=1,32,True,1.3231928419346985,0.0625,0.0,0.7405607070122383
seed002_pair1_B2_w12,2,12,Ideal QAOA p=2,32,False,0.0,0.0,0.0,1.0
seed002_pair1_B2_w12,2,12,Ideal QAOA p=3,32,True,2.0879656755155622,0.03125,0.0,0.5906111932661094
seed002_pair1_B2_w12,2,12,单点局部搜索,64,True,0.9195259877334223,0.140625,0.0,0.8197079332800641
seed002_pair1_B2_w12,2,12,多起点局部搜索,64,True,5.10020215787867,0.375,0.09375,0.0
seed002_pair1_B2_w12,2,12,模拟退火,64,True,5.10020215787867,0.75,0.015625,0.0
seed002_pair1_B2_w12,2,12,Random,64,True,1.3047585345161679,0.046875,0.0,0.7441751338227627
seed002_pair1_B2_w12,2,12,Exact,64,True,5.10020215787867,1.0,0.03125,0.0
seed002_pair1_B2_w12,2,12,Ideal QAOA p=1,64,True,0.6074568126191338,0.015625,0.0,0.8808955422128221
seed002_pair1_B2_w12,2,12,Ideal QAOA p=2,64,True,0.5851155012737763,0.03125,0.0,0.8852760178594286
seed002_pair1_B2_w12,2,12,Ideal QAOA p=3,64,True,0.12317573234841461,0.03125,0.0,0.9758488529404397
seed002_pair1_B2_w12,2,12,单点局部搜索,128,True,0.9195259877334223,0.1484375,0.0,0.8197079332800641
seed002_pair1_B2_w12,2,12,多起点局部搜索,128,True,5.10020215787867,0.4140625,0.078125,0.0
seed002_pair1_B2_w12,2,12,模拟退火,128,True,3.7175580863968065,0.2578125,0.0,0.27109593476525
seed002_pair1_B2_w12,2,12,Random,128,True,1.5859964164439617,0.0234375,0.0,0.6890326368742163
seed002_pair1_B2_w12,2,12,Exact,128,True,5.10020215787867,0.8515625,0.015625,0.0
seed002_pair1_B2_w12,2,12,Ideal QAOA p=1,128,True,1.456130392416,0.015625,0.0,0.7144955538347426
seed002_pair1_B2_w12,2,12,Ideal QAOA p=2,128,True,2.245856613123408,0.03125,0.0,0.5596534130212736
seed002_pair1_B2_w12,2,12,Ideal QAOA p=3,128,True,1.7426354639212889,0.015625,0.0,0.6583203155527262
seed002_pair1_B2_w12,2,12,单点局部搜索,256,True,0.9195259877334223,0.15234375,0.0,0.8197079332800641
seed002_pair1_B2_w12,2,12,多起点局部搜索,256,True,5.10020215787867,0.42578125,0.046875,0.0
seed002_pair1_B2_w12,2,12,模拟退火,256,True,2.8634375533817717,0.41015625,0.0,0.43856391085235663
seed002_pair1_B2_w12,2,12,Random,256,True,1.431233336640517,0.02734375,0.0,0.7193771359769373
seed002_pair1_B2_w12,2,12,Exact,256,True,5.10020215787867,0.42578125,0.0078125,0.0
seed002_pair1_B2_w12,2,12,Ideal QAOA p=1,256,True,3.7175580863968065,0.01171875,0.0,0.27109593476525
seed002_pair1_B2_w12,2,12,Ideal QAOA p=2,256,True,1.1476056545812696,0.0078125,0.0,0.7749882026130129
seed002_pair1_B2_w12,2,12,Ideal QAOA p=3,256,True,2.3253266213933586,0.03125,0.0,0.5440716760998875
seed002_pair1_B3_w14,2,14,单点局部搜索,32,True,0.9195259877334223,0.125,0.0,0.8197079332800641
seed002_pair1_B3_w14,2,14,多起点局部搜索,32,True,3.0503534899587095,0.34375,0.0,0.4019151799215259
seed002_pair1_B3_w14,2,14,模拟退火,32,True,1.3231928419346985,0.3125,0.0,0.7405607070122383
seed002_pair1_B3_w14,2,14,Random,32,False,0.0,0.0,0.0,1.0
seed002_pair1_B3_w14,2,14,Exact,32,True,5.10020215787867,1.0,0.0625,0.0
seed002_pair1_B3_w14,2,14,Ideal QAOA p=1,32,False,0.0,0.0,0.0,1.0
seed002_pair1_B3_w14,2,14,Ideal QAOA p=2,32,False,0.0,0.0,0.0,1.0
seed002_pair1_B3_w14,2,14,Ideal QAOA p=3,32,False,0.0,0.0,0.0,1.0
seed002_pair1_B3_w14,2,14,单点局部搜索,64,True,0.9195259877334223,0.140625,0.0,0.8197079332800641
seed002_pair1_B3_w14,2,14,多起点局部搜索,64,True,3.0503534899587095,0.28125,0.0,0.4019151799215259
seed002_pair1_B3_w14,2,14,模拟退火,64,True,2.0879656755155622,0.3125,0.0,0.5906111932661094
seed002_pair1_B3_w14,2,14,Random,64,True,0.6340331395695102,0.015625,0.0,0.8756847042641102
seed002_pair1_B3_w14,2,14,Exact,64,True,5.10020215787867,1.0,0.03125,0.0
seed002_pair1_B3_w14,2,14,Ideal QAOA p=1,64,False,0.0,0.0,0.0,1.0
seed002_pair1_B3_w14,2,14,Ideal QAOA p=2,64,False,0.0,0.0,0.0,1.0
seed002_pair1_B3_w14,2,14,Ideal QAOA p=3,64,False,0.0,0.0,0.0,1.0
seed002_pair1_B3_w14,2,14,单点局部搜索,128,True,0.9195259877334223,0.1328125,0.0,0.8197079332800641
seed002_pair1_B3_w14,2,14,多起点局部搜索,128,True,5.10020215787867,0.3046875,0.0625,0.0
seed002_pair1_B3_w14,2,14,模拟退火,128,True,3.7175580863968065,0.6953125,0.0,0.27109593476525
seed002_pair1_B3_w14,2,14,Random,128,True,1.3231928419346985,0.0078125,0.0,0.7405607070122383
seed002_pair1_B3_w14,2,14,Exact,128,True,5.10020215787867,1.0,0.015625,0.0
seed002_pair1_B3_w14,2,14,Ideal QAOA p=1,128,True,0.9351582302772528,0.0078125,0.0,0.8166429091771111
seed002_pair1_B3_w14,2,14,Ideal QAOA p=2,128,True,0.8005815684215065,0.0078125,0.0,0.8430294440025701
seed002_pair1_B3_w14,2,14,Ideal QAOA p=3,128,True,0.9351582302772528,0.0078125,0.0,0.8166429091771111
seed002_pair1_B3_w14,2,14,单点局部搜索,256,True,0.9195259877334223,0.1328125,0.0,0.8197079332800641
seed002_pair1_B3_w14,2,14,多起点局部搜索,256,True,5.10020215787867,0.29296875,0.0703125,0.0
seed002_pair1_B3_w14,2,14,模拟退火,256,True,5.10020215787867,0.3359375,0.01171875,0.0
seed002_pair1_B3_w14,2,14,Random,256,True,0.5956340873610344,0.00390625,0.0,0.8832136317496919
seed002_pair1_B3_w14,2,14,Exact,256,True,5.10020215787867,0.578125,0.0078125,0.0
seed002_pair1_B3_w14,2,14,Ideal QAOA p=1,256,False,0.0,0.0,0.0,1.0
seed002_pair1_B3_w14,2,14,Ideal QAOA p=2,256,True,2.3253266213933586,0.0078125,0.0,0.5440716760998875
seed002_pair1_B3_w14,2,14,Ideal QAOA p=3,256,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w8,3,8,单点局部搜索,32,False,0.0,0.0,0.125,1.0
seed003_pair1_B1_w8,3,8,多起点局部搜索,32,True,1.0626824514160944,0.125,0.125,0.0
seed003_pair1_B1_w8,3,8,模拟退火,32,False,0.0,0.0,1.0,1.0
seed003_pair1_B1_w8,3,8,Random,32,True,0.9746483855933405,0.03125,0.03125,0.08284136592774508
seed003_pair1_B1_w8,3,8,Exact,32,True,1.0626824514160944,0.21875,0.28125,0.0
seed003_pair1_B1_w8,3,8,Ideal QAOA p=1,32,True,0.3913895497340718,0.03125,0.03125,0.6316966096386372
seed003_pair1_B1_w8,3,8,Ideal QAOA p=2,32,True,0.9746483855933405,0.09375,0.09375,0.08284136592774508
seed003_pair1_B1_w8,3,8,Ideal QAOA p=3,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w8,3,8,单点局部搜索,64,False,0.0,0.0,0.125,1.0
seed003_pair1_B1_w8,3,8,多起点局部搜索,64,True,1.0626824514160944,0.109375,0.15625,0.0
seed003_pair1_B1_w8,3,8,模拟退火,64,False,0.0,0.0,1.0,1.0
seed003_pair1_B1_w8,3,8,Random,64,True,1.0626824514160944,0.0625,0.0625,0.0
seed003_pair1_B1_w8,3,8,Exact,64,True,1.0626824514160944,0.109375,0.140625,0.0
seed003_pair1_B1_w8,3,8,Ideal QAOA p=1,64,True,0.24851874723151468,0.015625,0.015625,0.7661401607786531
seed003_pair1_B1_w8,3,8,Ideal QAOA p=2,64,True,0.925775550116029,0.015625,0.03125,0.12883143136280079
seed003_pair1_B1_w8,3,8,Ideal QAOA p=3,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w8,3,8,单点局部搜索,128,False,0.0,0.0,0.1171875,1.0
seed003_pair1_B1_w8,3,8,多起点局部搜索,128,True,1.0626824514160944,0.1484375,0.1484375,0.0
seed003_pair1_B1_w8,3,8,模拟退火,128,True,0.8116186409459374,0.828125,0.8828125,0.23625478160065402
seed003_pair1_B1_w8,3,8,Random,128,True,0.8116186409459374,0.0078125,0.0234375,0.23625478160065402
seed003_pair1_B1_w8,3,8,Exact,128,True,1.0626824514160944,0.0546875,0.0703125,0.0
seed003_pair1_B1_w8,3,8,Ideal QAOA p=1,128,True,0.8116186409459374,0.015625,0.0234375,0.23625478160065402
seed003_pair1_B1_w8,3,8,Ideal QAOA p=2,128,True,1.0626824514160944,0.0390625,0.0703125,0.0
seed003_pair1_B1_w8,3,8,Ideal QAOA p=3,128,False,0.0,0.0,0.0,1.0
seed003_pair1_B1_w8,3,8,单点局部搜索,256,False,0.0,0.0,0.11328125,1.0
seed003_pair1_B1_w8,3,8,多起点局部搜索,256,True,1.0626824514160944,0.1484375,0.171875,0.0
seed003_pair1_B1_w8,3,8,模拟退火,256,False,0.0,0.0,0.1015625,1.0
seed003_pair1_B1_w8,3,8,Random,256,True,1.0626824514160944,0.0234375,0.03125,0.0
seed003_pair1_B1_w8,3,8,Exact,256,True,1.0626824514160944,0.02734375,0.03515625,0.0
seed003_pair1_B1_w8,3,8,Ideal QAOA p=1,256,False,0.0,0.0,0.01171875,1.0
seed003_pair1_B1_w8,3,8,Ideal QAOA p=2,256,True,1.0626824514160944,0.0625,0.0703125,0.0
seed003_pair1_B1_w8,3,8,Ideal QAOA p=3,256,True,0.3913895497340718,0.00390625,0.00390625,0.6316966096386372
seed003_pair1_B2_w10,3,10,单点局部搜索,32,False,0.0,0.0,0.09375,1.0
seed003_pair1_B2_w10,3,10,多起点局部搜索,32,True,0.8116186409459374,0.09375,0.09375,0.23625478160065402
seed003_pair1_B2_w10,3,10,模拟退火,32,False,0.0,0.0,1.0,1.0
seed003_pair1_B2_w10,3,10,Random,32,True,0.3913895497340718,0.03125,0.03125,0.6316966096386372
seed003_pair1_B2_w10,3,10,Exact,32,True,1.0626824514160944,0.28125,0.375,0.0
seed003_pair1_B2_w10,3,10,Ideal QAOA p=1,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B2_w10,3,10,Ideal QAOA p=2,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B2_w10,3,10,Ideal QAOA p=3,32,False,0.0,0.0,0.0,1.0
seed003_pair1_B2_w10,3,10,单点局部搜索,64,False,0.0,0.0,0.09375,1.0
seed003_pair1_B2_w10,3,10,多起点局部搜索,64,True,1.0626824514160944,0.0625,0.0625,0.0
seed003_pair1_B2_w10,3,10,模拟退火,64,False,0.0,0.0,1.0,1.0
seed003_pair1_B2_w10,3,10,Random,64,False,0.0,0.0,0.015625,1.0
seed003_pair1_B2_w10,3,10,Exact,64,True,1.0626824514160944,0.140625,0.1875,0.0
seed003_pair1_B2_w10,3,10,Ideal QAOA p=1,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B2_w10,3,10,Ideal QAOA p=2,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B2_w10,3,10,Ideal QAOA p=3,64,False,0.0,0.0,0.0,1.0
seed003_pair1_B2_w10,3,10,单点局部搜索,128,False,0.0,0.0,0.09375,1.0
seed003_pair1_B2_w10,3,10,多起点局部搜索,128,True,1.0626824514160944,0.0546875,0.0703125,0.0
seed003_pair1_B2_w10,3,10,模拟退火,128,False,0.0,0.0,0.0625,1.0
seed003_pair1_B2_w10,3,10,Random,128,False,0.0,0.0,0.0,1.0
