instance_id,seed,p,stage,noise_scale,status,task_id,shots,low_energy_probability,improving_probability,found_improvement,best_improvement,distribution_entropy,unique_states
seed003_pair1_B1_w8,3,3,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.4680750561713961,0.0033730460114149907,False,0.0,6.424619116749213,152
seed003_pair1_B1_w8,3,3,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.4936223865182085,0.002754165323140553,False,0.0,6.221347044126439,142
seed003_pair1_B1_w8,3,3,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.5202850050481286,0.002094481719821791,False,0.0,5.981985165635387,124
seed003_pair1_B1_w8,3,3,Baihua 真机,observed,COMPLETED,2608021823413631437,1024,0.3017578125,0.001953125,False,0.0,6.75342074617508,191
seed007_pair2_B1_w8,7,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.13528323627356964,0.03540392481836912,True,1.5698392634309357,7.924554310827606,247
seed007_pair2_B1_w8,7,1,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.11096775957319008,0.0294695138992695,True,1.5698392634309357,7.984578592988024,247
seed007_pair2_B1_w8,7,1,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.11065377558905078,0.029324892516808018,True,0.989387122830081,7.9903570922607905,250
seed007_pair2_B1_w8,7,1,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.11087007059025974,0.02940580110849021,True,0.989387122830081,7.987723880043868,251
seed007_pair2_B1_w8,7,1,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.11093383048367202,0.029439769697619293,True,0.989387122830081,7.986219673014398,246
seed007_pair2_B1_w8,7,1,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.11096775957319008,0.0294695138992695,True,1.5698392634309357,7.984578592988024,247
seed007_pair2_B1_w8,7,1,Baihua 真机,observed,COMPLETED,2608021821430128485,1024,0.103515625,0.02734375,True,0.989387122830081,7.713943459526181,243
seed007_pair2_B1_w8,7,2,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.5495991608413113,0.10199036772619989,True,0.5747736673325505,6.228117895013741,145
seed007_pair2_B1_w8,7,2,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.2880088606234223,0.044232318302302016,True,1.5698392634309357,7.349410981870305,206
seed007_pair2_B1_w8,7,2,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.2493558976195463,0.043708798553875425,True,0.989387122830081,7.588803322634249,221
seed007_pair2_B1_w8,7,2,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.2681681974892039,0.04411360445785961,True,1.5698392634309357,7.480644963704927,213
seed007_pair2_B1_w8,7,2,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.2779557964471164,0.044209224779219715,True,1.5698392634309357,7.418292636854875,206
seed007_pair2_B1_w8,7,2,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.2880088606234223,0.044232318302302016,True,1.5698392634309357,7.349410981870305,206
seed007_pair2_B1_w8,7,2,Baihua 真机,observed,COMPLETED,2608021821517655181,1024,0.1005859375,0.046875,True,0.989387122830081,7.0096969054250415,207
seed007_pair2_B1_w8,7,3,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.2488178789471318,0.05166373709731445,True,1.2982704379264334,6.9913306836851605,182
seed007_pair2_B1_w8,7,3,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.3080496111344522,0.04020308564948728,True,0.989387122830081,7.256096284599477,205
seed007_pair2_B1_w8,7,3,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.26105029566675103,0.041438680180009305,True,1.2982704379264334,7.54947571163779,224
seed007_pair2_B1_w8,7,3,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.2836329098394709,0.04106686840511876,True,1.2982704379264334,7.418664963266841,227
seed007_pair2_B1_w8,7,3,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.29559994683219676,0.04069916830290021,True,0.989387122830081,7.341858972682728,212
seed007_pair2_B1_w8,7,3,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.3080496111344522,0.04020308564948728,True,0.989387122830081,7.256096284599477,205
seed007_pair2_B1_w8,7,3,Baihua 真机,observed,COMPLETED,2608021823508897152,1024,0.134765625,0.05859375,True,0.989387122830081,7.064972314964911,208
seed013_pair2_B1_w8,13,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.12847928734834674,0.0057700379740113035,True,1.8455533142656009,7.755423413353404,231
seed013_pair2_B1_w8,13,1,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.11303249665166472,0.004392523653642112,False,0.0,7.98477871136577,250
seed013_pair2_B1_w8,13,1,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.11201093035246082,0.004330319054879072,False,0.0,7.990136775290775,251
seed013_pair2_B1_w8,13,1,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.11256029775819713,0.00436207632426116,False,0.0,7.987666990301049,252
seed013_pair2_B1_w8,13,1,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.11280603810436704,0.004377460872633433,False,0.0,7.986278341287104,251
seed013_pair2_B1_w8,13,1,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.11303249665166472,0.004392523653642112,False,0.0,7.98477871136577,250
seed013_pair2_B1_w8,13,1,Baihua 真机,observed,COMPLETED,2608021822005823839,1024,0.1005859375,0.0048828125,False,0.0,7.776886011514689,249
seed013_pair2_B1_w8,13,2,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.1744063543239078,0.006911404804976105,True,1.8455533142656009,6.874700287809411,170
seed013_pair2_B1_w8,13,2,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.09222775715989229,0.004029313310795214,False,0.0,7.710526671877997,209
seed013_pair2_B1_w8,13,2,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.10002785765507038,0.004188248550270827,False,0.0,7.858223479395893,235
seed013_pair2_B1_w8,13,2,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.09642428330019162,0.004115830199082563,True,1.8455533142656009,7.797905706274693,226
seed013_pair2_B1_w8,13,2,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.09440001112087283,0.004074286155810638,False,0.0,7.758758862623159,214
seed013_pair2_B1_w8,13,2,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.09222775715989229,0.004029313310795214,False,0.0,7.710526671877997,209
seed013_pair2_B1_w8,13,2,Baihua 真机,observed,COMPLETED,2608021822140385318,1024,0.0322265625,0.0,False,0.0,7.39402505222635,224
seed015_pair1_B1_w8,15,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.343601391706741,0.012194770602396703,True,0.5922153236241172,7.336021309609615,222
seed015_pair1_B1_w8,15,1,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.10928429848404371,0.011512147455978172,True,0.19639577136402409,7.982781631865781,250
seed015_pair1_B1_w8,15,1,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.10923631670453017,0.011550263376831026,True,0.19639577136402409,7.98961719249438,250
seed015_pair1_B1_w8,15,1,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.10932240353502223,0.01153215526875037,True,0.19639577136402409,7.9865331008682405,250
seed015_pair1_B1_w8,15,1,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.10931909096476856,0.01152241871912836,True,0.19639577136402409,7.984747001890976,252
seed015_pair1_B1_w8,15,1,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.10928429848404371,0.011512147455978172,True,0.19639577136402409,7.982781631865781,250
seed015_pair1_B1_w8,15,1,Baihua 真机,observed,COMPLETED,2608021822227789039,1024,0.12109375,0.0107421875,False,0.0,7.738085654651281,249
