p,stage,label,independent_instances,mean_improving_probability,bootstrap_ci_low,bootstrap_ci_high
1,Baihua 真机,Baihua 真机,10,0.0228515625,0.0103515625,0.0392578125
1,硬件兼容理想模拟,硬件兼容理想模型,10,0.02435458971812444,0.01187001971281458,0.041279248619597836
1,均匀随机基线,均匀随机基线,10,0.02265625,0.0109375,0.038671875
2,Baihua 真机,Baihua 真机,10,0.02421875,0.01025146484375,0.04072265625
2,硬件兼容理想模拟,硬件兼容理想模型,10,0.027054751227642237,0.01367741532969944,0.04304371607005179
2,均匀随机基线,均匀随机基线,10,0.02265625,0.0109375,0.039453125
3,Baihua 真机,Baihua 真机,10,0.027734375,0.01103515625,0.0474609375
3,硬件兼容理想模拟,硬件兼容理想模型,10,0.022036022726644424,0.012162356979848339,0.033660570554448745
3,均匀随机基线,均匀随机基线,10,0.02265625,0.0109375,0.03907226562499986
