instance_id,seed,Hardware,Random,Simulator,Exact,hardware_status
seed002_pair1_B2_w8,2,0.0,0.8005815684215065,0.8005815684215065,0.8005815684215065,COMPLETED
seed003_pair1_B1_w8,3,0.0,0.5151326882051706,0.5495998254435079,0.5495998254435079,COMPLETED
seed007_pair2_B1_w8,7,0.989387122830081,1.5698392634309357,1.5698392634309357,1.9570662933267613,COMPLETED
seed013_pair2_B1_w8,13,0.0,1.8455533142656009,1.8455533142656009,1.8455533142656009,COMPLETED
seed015_pair1_B1_w8,15,0.19639577136402409,0.19639577136402409,0.0,0.5922153236241172,COMPLETED
seed018_pair1_B1_w8,18,0.0,0.30028595658475865,0.30028595658475865,0.30028595658475865,COMPLETED
seed019_pair1_B2_w8,19,0.0,0.2627013247218315,0.2627013247218315,0.2627013247218315,COMPLETED
seed024_pair1_B1_w8,24,0.5982456360489294,0.5982456360489294,0.5982456360489294,0.5982456360489294,COMPLETED
seed026_pair2_B1_w8,26,1.3553087310184537,1.282453317473852,1.3553087310184537,1.3553087310184537,COMPLETED
seed027_pair1_B1_w8,27,0.9158795693927004,2.66549414155196,0.9276975141900152,2.66549414155196,COMPLETED
