instance_id,seed,num_customers,num_vehicles,vehicle_capacity,vehicle_pair,pair_rank,block_id,block_size,state_count,baseline_distance,exact_best_distance,best_improvement,has_improvement,improving_state_count,improving_state_ratio,single_bit_local_trap,minimum_required_flips,feasible_state_ratio,capacity_repair_ratio,spearman_qubo_true_distance,true_optimum_qubo_rank,current_bitstring,qubo_best_bitstring,true_best_bitstring
seed003_pair1_B2_w6,3,50,5,33,1-4,1,B2,6,64,128.45641540180517,127.64479676085924,0.8116186409459374,True,3,0.046875,True,2,0.078125,0.921875,0.3775930795352595,15,010101,010101,011001
seed003_pair1_B3_w6,3,50,5,33,1-4,1,B3,6,64,128.45641540180517,127.9412827136,0.5151326882051706,True,1,0.015625,True,2,0.0625,0.9375,-0.14948565278611273,58,111110,101010,111101
seed003_pair2_B1_w6,3,50,5,33,0-3,2,B1,6,64,128.45641540180517,128.2288199038005,0.2275954980046606,True,1,0.015625,False,1,0.1875,0.8125,-0.323728198486785,33,111111,001110,101111
seed003_pair2_B2_w6,3,50,5,33,0-3,2,B2,6,64,128.45641540180517,126.56791867002467,1.8884967317805064,True,4,0.0625,False,1,0.796875,0.203125,-0.13291813260427698,5,010111,011101,000101
seed003_pair2_B3_w6,3,50,5,33,0-3,2,B3,6,64,128.45641540180517,128.04594972642812,0.41046567537705414,True,3,0.046875,False,1,0.640625,0.359375,0.1679773802746543,2,000011,010111,010011
seed003_pair1_B1_w8,3,50,5,33,1-4,1,B1,8,256,128.45641540180517,127.90681557636167,0.5495998254435079,True,2,0.0078125,True,2,0.06640625,0.93359375,-0.019639371445051672,167,11100100,10100100,11011000
seed003_pair1_B2_w8,3,50,5,33,1-4,1,B2,8,256,128.45641540180517,127.39373295038908,1.0626824514160944,True,9,0.03515625,True,2,0.0625,0.9375,0.18291922941164218,68,10010001,10010001,10011100
seed003_pair1_B3_w8,3,50,5,33,1-4,1,B3,8,256,128.45641540180517,127.90681557636167,0.5495998254435079,True,2,0.0078125,True,2,0.0546875,0.9453125,0.039895246867417015,159,00101110,00101010,11001100
seed003_pair2_B1_w8,3,50,5,33,0-3,2,B1,8,256,128.45641540180517,128.2288199038005,0.2275954980046606,True,3,0.01171875,False,1,0.375,0.625,-0.28918737757378943,67,00111111,10001110,00101111
seed003_pair2_B2_w8,3,50,5,33,0-3,2,B2,8,256,128.45641540180517,125.92659368720601,2.5298217145991657,True,42,0.1640625,False,1,0.45703125,0.54296875,0.32870445544981336,97,00001100,10000001,10000010
seed003_pair2_B3_w8,3,50,5,33,0-3,2,B3,8,256,128.45641540180517,127.42856524469249,1.027850157112681,True,21,0.08203125,False,1,0.609375,0.390625,-0.2572596647955907,200,11110001,11100000,10011100
seed004_pair1_B1_w6,4,30,3,36,0-2,1,B1,6,64,100.39584373716988,98.90865000451417,1.4871937326557116,True,44,0.6875,False,1,0.015625,0.984375,-0.18136446886446883,57,000111,000101,111010
seed004_pair1_B2_w6,4,30,3,36,0-2,1,B2,6,64,100.39584373716988,98.92467381855408,1.4711699186158,True,43,0.671875,False,1,0.015625,0.984375,0.40245749092227945,22,000000,000000,000011
seed004_pair1_B3_w6,4,30,3,36,0-2,1,B3,6,64,100.39584373716988,97.89901814831401,2.49682558885587,True,33,0.515625,False,1,0.03125,0.96875,0.10864164122880769,9,101000,101000,000000
seed004_pair2_B1_w6,4,30,3,36,1-2,2,B1,6,64,100.39584373716988,89.55662238514512,10.839221352024765,True,49,0.765625,False,1,0.984375,0.015625,0.21433150183150182,15,111101,001000,100000
seed004_pair2_B2_w6,4,30,3,36,1-2,2,B2,6,64,100.39584373716988,99.92544627735597,0.4703974598139098,True,22,0.34375,False,1,0.984375,0.015625,0.055495140744715794,59,101111,100010,111110
seed004_pair2_B3_w6,4,30,3,36,1-2,2,B3,6,64,100.39584373716988,97.92637479575242,2.4694689414174604,True,37,0.578125,False,1,0.953125,0.046875,0.41956569046113057,1,110101,000001,000001
seed004_pair1_B1_w8,4,30,3,36,0-2,1,B1,8,256,100.39584373716988,95.91295721050723,4.482886526662654,True,203,0.79296875,False,1,0.07421875,0.92578125,-0.04168656752463226,8,01000111,01000101,00000001
seed004_pair1_B2_w8,4,30,3,36,0-2,1,B2,8,256,100.39584373716988,99.2915883719296,1.1042553652402773,True,56,0.21875,False,1,0.05859375,0.94140625,0.1239462084180063,122,11000000,01000000,11100001
seed004_pair1_B3_w8,4,30,3,36,0-2,1,B3,8,256,100.39584373716988,99.42576020123997,0.9700835359299163,True,23,0.08984375,False,1,0.1171875,0.8828125,0.14282950237633665,178,00001011,00001001,00011111
seed004_pair2_B1_w8,4,30,3,36,1-2,2,B1,8,256,100.39584373716988,89.08622492533118,11.309618811838703,True,189,0.73828125,False,1,0.96484375,0.03515625,0.14223935683222705,133,01111101,01001000,11000000
seed004_pair2_B2_w8,4,30,3,36,1-2,2,B2,8,256,100.39584373716988,95.64561688078358,4.7502268563863055,True,174,0.6796875,False,1,0.94921875,0.05078125,0.14166711519988812,191,00111110,00000010,01011111
seed004_pair2_B3_w8,4,30,3,36,1-2,2,B3,8,256,100.39584373716988,95.64561688078358,4.7502268563863055,True,98,0.3828125,False,1,0.87890625,0.12109375,0.7460965748029919,124,00110111,00110000,11110110
seed005_pair1_B1_w6,5,40,4,31,0-3,1,B1,6,64,119.73723509669436,116.75354209743296,2.9836929992614074,True,54,0.84375,False,1,0.765625,0.234375,0.020130309934934098,59,001111,000011,111000
seed005_pair1_B2_w6,5,40,4,31,0-3,1,B2,6,64,119.73723509669436,117.6628323316041,2.0744027650902694,True,28,0.4375,False,1,0.796875,0.203125,0.16378205128205126,15,011100,010000,110100
seed005_pair1_B3_w6,5,40,4,31,0-3,1,B3,6,64,119.73723509669436,118.19213922872476,1.5450958679696072,True,17,0.265625,False,1,0.015625,0.984375,0.3872710622710622,5,000000,000000,100100
seed005_pair2_B1_w6,5,40,4,31,0-1,2,B1,6,64,119.73723509669436,116.29992275081311,3.437312345881253,True,38,0.59375,False,1,0.875,0.125,0.10774302863989914,26,001111,001111,011110
seed005_pair2_B2_w6,5,40,4,31,0-1,2,B2,6,64,119.73723509669436,118.43624801071884,1.300987085975521,True,12,0.1875,False,1,0.84375,0.15625,-0.3067200935955306,57,011101,011101,111010
seed005_pair2_B3_w6,5,40,4,31,0-1,2,B3,6,64,119.73723509669436,118.9047476761628,0.8324874205315638,True,2,0.03125,False,1,0.0625,0.9375,0.05833333333333332,2,000100,000100,000000
