instance_id,source,bitstring,count,probability,energy,raw_feasible,onehot_violation_count,capacity_violation_count,task_id,backend,exact_energy,energy_gap,normalized_score,quality_gate_pass,near_quality_gate_pass,classical_reach_all_pass,classical_reach_feasible_pass,strict_improvement_all_pass,strict_improvement_feasible_pass,strict_improvement_pass,bqm_energy,threshold_all,threshold_feasible,meets_quality_threshold,strictly_below_threshold
seed2026_c4_v2_medium,hardware,0000,232,0.2265625,779.2130623708881,False,0,1,2608012251527123036,Baihua,-0.18208246942526785,779.3951448403134,14.314701146528408,False,False,False,False,False,False,False,779.2130623708881,-0.18208246942526785,-0.18208246942526785,False,False
seed2026_c4_v2_medium,hardware,1111,119,0.1162109375,779.2130623708881,False,0,1,2608012251527123036,Baihua,-0.18208246942526785,779.3951448403134,14.314701146528408,False,False,False,False,False,False,False,779.2130623708881,-0.18208246942526785,-0.18208246942526785,False,False
seed2026_c4_v2_medium,hardware,0100,72,0.0703125,201.2579027966351,False,0,1,2608012251527123036,Baihua,-0.18208246942526785,201.43998526606038,3.6997320385355206,False,False,False,False,False,False,False,201.2579027966351,-0.18208246942526785,-0.18208246942526785,False,False
seed2026_c4_v2_medium,hardware,0101,65,0.0634765625,1.9603592225339526,True,0,0,2608012251527123036,Baihua,-0.18208246942526785,2.1424416919592204,0.03934899100576566,True,True,False,False,False,False,False,1.9603592225339526,-0.18208246942526785,-0.18208246942526785,True,False
seed2026_c4_v2_medium,hardware,1101,64,0.0625,54.09541431515527,False,0,1,2608012251527123036,Baihua,-0.18208246942526785,54.277496784580535,0.9968834815004087,False,False,False,False,False,False,False,54.09541431515527,-0.18208246942526785,-0.18208246942526785,False,False
seed2026_c4_v2_medium,hardware,0010,63,0.0615234375,54.09541431515527,False,0,1,2608012251527123036,Baihua,-0.18208246942526785,54.277496784580535,0.9968834815004087,False,False,False,False,False,False,False,54.09541431515527,-0.18208246942526785,-0.18208246942526785,False,False
seed2026_c4_v2_medium,hardware,1011,60,0.05859375,201.2579027966351,False,0,1,2608012251527123036,Baihua,-0.18208246942526785,201.43998526606038,3.6997320385355206,False,False,False,False,False,False,False,201.2579027966351,-0.18208246942526785,-0.18208246942526785,False,False
seed2026_c4_v2_medium,hardware,0001,56,0.0546875,2.0958914224167984,True,0,0,2608012251527123036,Baihua,-0.18208246942526785,2.2779738918420662,0.041838232759320575,True,True,False,False,False,False,False,2.0958914224167984,-0.18208246942526785,-0.18208246942526785,True,False
seed2026_c4_v2_medium,hardware,1010,47,0.0458984375,1.9603592225339526,True,0,0,2608012251527123036,Baihua,-0.18208246942526785,2.1424416919592204,0.03934899100576566,True,True,False,False,False,False,False,1.9603592225339526,-0.18208246942526785,-0.18208246942526785,True,False
seed2026_c4_v2_medium,hardware,1000,42,0.041015625,442.97691620756905,False,0,1,2608012251527123036,Baihua,-0.18208246942526785,443.1589986769943,8.139245758011079,False,False,False,False,False,False,False,442.97691620756905,-0.18208246942526785,-0.18208246942526785,False,False
seed2026_c4_v2_medium,hardware,1001,42,0.041015625,-0.18208246942526785,True,0,0,2608012251527123036,Baihua,-0.18208246942526785,0.0,0.0,True,True,True,True,False,False,False,-0.18208246942526785,-0.18208246942526785,-0.18208246942526785,True,False
seed2026_c4_v2_medium,hardware,0111,41,0.0400390625,442.97691620756905,False,0,1,2608012251527123036,Baihua,-0.18208246942526785,443.1589986769943,8.139245758011079,False,False,False,False,False,False,False,442.97691620756905,-0.18208246942526785,-0.18208246942526785,False,False
seed2026_c4_v2_medium,hardware,0011,40,0.0390625,54.434785617779426,False,0,1,2608012251527123036,Baihua,-0.18208246942526785,54.61686808720469,1.0031165184995912,False,False,False,False,False,False,False,54.434785617779426,-0.18208246942526785,-0.18208246942526785,False,False
seed2026_c4_v2_medium,hardware,1110,34,0.033203125,2.0958914224167984,True,0,0,2608012251527123036,Baihua,-0.18208246942526785,2.2779738918420662,0.041838232759320575,True,True,False,False,False,False,False,2.0958914224167984,-0.18208246942526785,-0.18208246942526785,True,False
seed2026_c4_v2_medium,hardware,1100,28,0.02734375,54.434785617779426,False,0,1,2608012251527123036,Baihua,-0.18208246942526785,54.61686808720469,1.0031165184995912,False,False,False,False,False,False,False,54.434785617779426,-0.18208246942526785,-0.18208246942526785,False,False
seed2026_c4_v2_medium,hardware,0110,19,0.0185546875,-0.18208246942526785,True,0,0,2608012251527123036,Baihua,-0.18208246942526785,0.0,0.0,True,True,True,True,False,False,False,-0.18208246942526785,-0.18208246942526785,-0.18208246942526785,True,False
